NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Simeon Nwankwo,Nigeria,FC Crotone,Italy,FW,Centre-Forward,26-30,26,2,0,0,0,0,2,2,0
Kelechi Iheanacho,Nigeria,Leicester City,England,FW,Centre-Forward,21-25,21,3,0,0,0,0,148,18,8
Joel Obi,Nigeria,Torino FC,Italy,MF,Central Midfield,26-30,27,0,0,0,0,0,0,17,0
Daniel Akpeyi,Nigeria,Chippa United,South Africa,GK,Goalkeeper,31-35,31,0,0,0,0,0,0,7,0
Ogenyi Onazi,Nigeria,Trabzonspor,Turkey,MF,Defensive Midfield,21-25,25,0,0,0,0,0,0,52,1
Alex Iwobi,Nigeria,Arsenal FC,England,FW,Left Winger,21-25,22,3,0,0,0,0,62,19,5
John Ogu,Nigeria,Hapoel Beer Sheva,Israel,MF,Central Midfield,26-30,30,0,0,0,0,0,0,20,2
Chidozie Awaziem,Nigeria,FC Nantes,France,DF,Centre-Back,21-25,21,0,0,0,0,0,0,4,0
Tyronne Ebuehi,Nigeria,ADO Den Haag,Netherlands,DF,Right-Back,21-25,22,1,0,0,0,0,44,7,0
Kenneth Omeruo,Nigeria,Kasimpasa,Turkey,DF,Centre-Back,21-25,24,2,0,1,0,0,180,39,0
Francis Uzoho,Nigeria,Deportivo de La Coruna,Spain,GK,Goalkeeper,15-20,19,3,0,0,0,0,270,6,0
Alisson,Brazil,AS Roma,Italy,GK,Goalkeeper,21-25,25,5,0,0,0,0,450,26,0
Thiago Silva,Brazil,Paris Saint-Germain,France,DF,Centre-Back,31-35,33,5,1,0,0,0,450,71,5
Miranda,Brazil,Inter Milan,Italy,DF,Centre-Back,31-35,33,5,0,0,0,0,450,47,2
Pedro Geromel,Brazil,Gremio Foot-Ball Porto Alegrense,Brazil,DF,Centre-Back,31-35,32,0,0,0,0,0,0,2,0
Casemiro,Brazil,Real Madrid,Spain,MF,Defensive Midfield,26-30,26,4,0,0,2,0,330,24,0
Filipe Luis,Brazil,Atletico Madrid,Spain,DF,Left-Back,31-35,32,2,0,0,1,0,170,33,2
Douglas Costa,Brazil,Juventus FC,Italy,FW,Right Winger,26-30,27,2,0,1,0,0,76,25,3
Renato Augusto,Brazil,Beijing Sinobo Guoan,China,MF,Central Midfield,26-30,30,3,1,0,0,0,50,28,5
Gabriel Jesus,Brazil,Manchester City,England,FW,Centre-Forward,21-25,21,5,0,1,0,0,407,17,10
Neymar,Brazil,Paris Saint-Germain,France,FW,Left Winger,26-30,26,5,2,2,1,0,450,85,55
Philippe Coutinho,Brazil,FC Barcelona,Spain,MF,Attacking Midfield,26-30,26,5,2,2,1,0,436,37,10
Marcelo,Brazil,Real Madrid,Spain,DF,Left-Back,26-30,30,4,0,0,0,0,280,54,6
Marquinhos,Brazil,Paris Saint-Germain,France,DF,Centre-Back,21-25,24,1,0,0,0,0,0,26,0
Danilo,Brazil,Manchester City,England,DF,Right-Back,26-30,26,1,0,0,0,0,90,18,0
Paulinho,Brazil,FC Barcelona,Spain,MF,Central Midfield,26-30,29,5,1,0,0,0,354,50,12
Cassio,Brazil,Sport Club Corinthians Paulista,Brazil,GK,Goalkeeper,31-35,31,0,0,0,0,0,0,1,0
Fernandinho,Brazil,Manchester City,England,MF,Defensive Midfield,31-35,33,5,0,0,1,0,154,44,2
Fred,Brazil,Shakhtar Donetsk,Ukraine,MF,Central Midfield,21-25,25,0,0,0,0,0,0,8,0
Willian,Brazil,Chelsea FC,England,FW,Right Winger,26-30,29,5,0,1,0,0,360,57,8
Roberto Firmino,Brazil,Liverpool FC,England,FW,Second Striker,26-30,26,4,1,0,0,0,81,21,6
Taison,Brazil,Shakhtar Donetsk,Ukraine,FW,Left Winger,26-30,30,0,0,0,0,0,0,8,1
Fagner,Brazil,Sport Club Corinthians Paulista,Brazil,DF,Right-Back,26-30,29,4,0,0,1,0,360,4,0
Ederson,Brazil,Manchester City,England,GK,Goalkeeper,21-25,24,0,0,0,0,0,0,1,0
Keylor Navas,Costa Rica,Real Madrid,Spain,GK,Goalkeeper,31-35,31,3,0,0,0,0,270,81,0
Johnny Acosta,Costa Rica,Rionegro Aguilas,Colombia,DF,Centre-Back,31-35,34,3,0,0,1,0,270,69,2
Giancarlo Gonzalez,Costa Rica,Bologna FC 1909,Italy,DF,Centre-Back,26-30,30,3,0,0,0,0,270,70,2
Ian Smith,Costa Rica,IFK Norrkoping,Sweden,DF,Right-Back,15-20,20,1,0,0,0,0,0,4,0
Celso Borges,Costa Rica,Deportivo de La Coruna,Spain,MF,Central Midfield,26-30,30,3,0,0,0,0,270,113,21
oscar Duarte,Costa Rica,RCD Espanyol Barcelona,Spain,DF,Centre-Back,26-30,29,2,0,0,0,0,180,39,2
Christian Bolanos,Costa Rica,Deportivo Saprissa,Costa Rica,FW,Right Winger,31-35,34,2,0,0,0,0,66,81,6
Bryan Oviedo,Costa Rica,Sunderland AFC,England,DF,Left-Back,26-30,28,2,0,0,0,0,180,44,1
Daniel Colindres,Costa Rica,Deportivo Saprissa,Costa Rica,FW,Left Winger,31-35,33,2,0,0,0,0,98,11,0
Bryan Ruiz,Costa Rica,Sporting CP,Portugal,MF,Left Midfield,31-35,32,3,0,1,0,0,270,110,24
Johan Venegas,Costa Rica,Deportivo Saprissa,Costa Rica,MF,Right Midfield,26-30,29,2,0,0,0,0,150,47,10
Joel Campbell,Costa Rica,Real Betis Balompie,Spain,FW,Right Winger,26-30,26,2,0,1,1,0,114,77,15
Rodney Wallace,Costa Rica,New York City FC,United States,MF,Left Midfield,26-30,30,1,0,0,0,0,9,30,4
Randall Azofeifa,Costa Rica,CS Herediano,Costa Rica,MF,Defensive Midfield,31-35,33,1,0,0,0,0,0,58,3
Francisco Calvo,Costa Rica,Minnesota United FC,United States,DF,Centre-Back,26-30,26,2,0,0,1,0,105,38,4
Cristian Gamboa,Costa Rica,Celtic FC,Scotland,DF,Right-Back,26-30,28,3,0,0,1,0,255,68,3
Yeltsin Tejeda,Costa Rica,FC Lausanne-Sport,Switzerland,MF,Defensive Midfield,26-30,26,1,0,0,0,0,7,51,0
Patrick Pemberton,Costa Rica,LD Alajuelense,Costa Rica,GK,Goalkeeper,36+,36,0,0,0,0,0,0,39,0
Kendall Waston,Costa Rica,Vancouver Whitecaps,Canada,DF,Centre-Back,26-30,30,1,1,0,1,0,90,26,3
David Guzman,Costa Rica,Portland Timbers,United States,MF,Defensive Midfield,26-30,28,3,0,0,1,0,246,43,0
Marco Urena,Costa Rica,Los Angeles FC,United States,FW,Second Striker,26-30,28,2,0,0,0,0,120,64,15
Kenner Gutierrez,Costa Rica,LD Alajuelense,Costa Rica,DF,Centre-Back,26-30,29,0,0,0,0,0,0,9,0
Leonel Moreira,Costa Rica,CS Herediano,Costa Rica,GK,Goalkeeper,26-30,28,0,0,0,0,0,0,9,0
Vladimir Stojkovic,Serbia,FK Partizan Belgrade,Serbia,GK,Goalkeeper,31-35,34,3,0,0,0,0,270,81,0
Antonio Rukavina,Serbia,Villarreal CF,Spain,DF,Right-Back,31-35,34,2,0,0,0,0,97,47,0
Dusko Tosic,Serbia,Besiktas JK,Turkey,DF,Centre-Back,31-35,33,2,0,0,0,0,180,24,1
Luka Milivojevic,Serbia,Crystal Palace,England,MF,Defensive Midfield,26-30,27,2,0,0,1,0,171,28,1
Uros Spajic,Serbia,RSC Anderlecht,Belgium,DF,Centre-Back,21-25,25,0,0,0,0,0,0,5,0
Branislav Ivanovic,Serbia,Zenit St. Petersburg,Russia,DF,Centre-Back,31-35,34,2,0,0,1,0,180,103,13
Andrija Zivkovic,Serbia,SL Benfica,Portugal,MF,Attacking Midfield,21-25,21,1,0,0,0,0,15,10,0
Aleksandar Prijovic,Serbia,PAOK Thessaloniki,Greece,FW,Centre-Forward,26-30,28,1,0,0,1,0,0,9,1
Aleksandar Mitrovic,Serbia,Fulham FC,England,FW,Centre-Forward,21-25,23,3,1,0,2,0,269,37,16
Dusan Tadic,Serbia,Southampton FC,England,MF,Attacking Midfield,26-30,29,3,0,1,0,0,263,53,13
Aleksandar Kolarov,Serbia,AS Roma,Italy,DF,Left-Back,31-35,32,3,1,0,0,0,270,76,10
Predrag Rajkovic,Serbia,Maccabi Tel Aviv,Israel,GK,Goalkeeper,21-25,22,0,0,0,0,0,0,8,0
Milos Veljkovic,Serbia,SV Werder Bremen,Germany,DF,Centre-Back,21-25,22,1,0,0,0,0,90,2,0
Milan Rodic,Serbia,Red Star Belgrade,Serbia,DF,Left-Back,26-30,27,0,0,0,0,0,0,1,0
Nikola Milenkovic,Serbia,ACF Fiorentina,Italy,DF,Centre-Back,15-20,20,3,0,0,0,0,270,3,0
Marko Grujic,Serbia,Cardiff City,England,MF,Central Midfield,21-25,22,0,0,0,0,0,0,8,0
Filip Kostic,Serbia,Hamburger SV,Germany,FW,Left Winger,21-25,25,3,0,0,0,0,166,23,2
Nemanja Radonjic,Serbia,Red Star Belgrade,Serbia,FW,Left Winger,21-25,22,2,0,0,0,0,17,3,0
Luka Jovic,Serbia,Eintracht Frankfurt,Germany,FW,Centre-Forward,15-20,20,1,0,0,0,0,1,1,0
Sergej Milinkovic-Savic,Serbia,SS Lazio,Italy,MF,Central Midfield,21-25,23,3,0,0,1,0,270,4,0
Nemanja Matic,Serbia,Manchester United,England,MF,Defensive Midfield,26-30,29,3,0,0,2,0,270,40,2
Adem Ljajic,Serbia,Torino FC,Italy,MF,Attacking Midfield,26-30,26,3,0,0,1,0,171,29,6
Marko Dmitrovic,Serbia,SD Eibar,Spain,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,2,0
Yann Sommer,Switzerland,Borussia Monchengladbach,Germany,GK,Goalkeeper,26-30,29,4,0,0,0,0,360,35,0
Stephan Lichtsteiner,Switzerland,Juventus FC,Italy,DF,Right-Back,31-35,34,3,0,0,2,0,267,100,8
Francois Moubandje,Switzerland,FC Toulouse,France,DF,Left-Back,26-30,28,0,0,0,0,0,0,18,0
Nico Elvedi,Switzerland,Borussia Monchengladbach,Germany,DF,Centre-Back,21-25,21,0,0,0,0,0,0,6,0
Manuel Akanji,Switzerland,Borussia Dortmund,Germany,DF,Centre-Back,21-25,22,4,0,0,0,0,360,7,0
Michael Lang,Switzerland,FC Basel 1893,Switzerland,DF,Right-Back,26-30,27,3,0,0,0,1,102,24,2
Breel Embolo,Switzerland,FC Schalke 04,Germany,FW,Centre-Forward,21-25,21,4,0,1,0,0,134,25,3
Remo Freuler,Switzerland,Atalanta BC,Italy,MF,Central Midfield,26-30,26,0,0,0,0,0,0,10,0
Haris Seferovic,Switzerland,SL Benfica,Portugal,FW,Centre-Forward,26-30,26,3,0,0,0,0,142,51,12
Granit Xhaka,Switzerland,Arsenal FC,England,MF,Defensive Midfield,21-25,25,4,1,0,1,0,360,62,9
Valon Behrami,Switzerland,Udinese Calcio,Italy,MF,Defensive Midfield,31-35,33,4,0,0,2,0,311,79,2
Yvon Mvogo,Switzerland,RB Leipzig,Germany,GK,Goalkeeper,21-25,24,0,0,0,0,0,0,0,0
Ricardo Rodriguez,Switzerland,AC Milan,Italy,DF,Left-Back,21-25,25,4,0,0,0,0,360,53,5
Steven Zuber,Switzerland,TSG 1899 Hoffenheim,Germany,MF,Left Midfield,26-30,26,3,1,0,0,0,253,12,3
Blerim Dzemaili,Switzerland,Bologna FC 1909,Italy,MF,Central Midfield,31-35,32,4,1,0,0,0,326,65,9
Gelson Fernandes,Switzerland,Eintracht Frankfurt,Germany,MF,Defensive Midfield,31-35,31,0,0,0,0,0,0,67,2
Denis Zakaria,Switzerland,Borussia Monchengladbach,Germany,MF,Defensive Midfield,21-25,21,2,0,1,1,0,49,10,0
Mario Gavranovic,Switzerland,GNK Dinamo Zagreb,Croatia,FW,Centre-Forward,26-30,28,2,0,1,0,0,113,14,5
Josip Drmic,Switzerland,Borussia Monchengladbach,Germany,FW,Centre-Forward,21-25,25,3,1,0,0,0,111,29,9
Johan Djourou,Switzerland,Antalyaspor,Turkey,DF,Centre-Back,31-35,31,1,0,0,0,0,90,74,2
Roman Burki,Switzerland,Borussia Dortmund,Germany,GK,Goalkeeper,26-30,27,0,0,0,0,0,0,9,0
Fabian Schar,Switzerland,Deportivo de La Coruna,Spain,DF,Centre-Back,26-30,26,3,0,0,2,0,270,39,7
Xherdan Shaqiri,Switzerland,Stoke City,England,FW,Right Winger,26-30,26,4,1,1,1,0,351,70,20
Manuel Neuer,Germany,Bayern Munich,Germany,GK,Goalkeeper,31-35,32,3,0,0,0,0,270,76,0
Marvin Plattenhardt,Germany,Hertha BSC,Germany,DF,Left-Back,26-30,26,1,0,0,0,0,79,6,0
Jonas Hector,Germany,1. FC Koln,Germany,DF,Left-Back,26-30,28,2,0,0,0,0,165,38,3
Matthias Ginter,Germany,Borussia Monchengladbach,Germany,DF,Centre-Back,21-25,24,0,0,0,0,0,0,18,0
Mats Hummels,Germany,Bayern Munich,Germany,DF,Centre-Back,26-30,29,2,0,0,1,0,180,64,5
Sami Khedira,Germany,Juventus FC,Italy,MF,Central Midfield,31-35,31,2,0,0,0,0,118,75,7
Julian Draxler,Germany,Paris Saint-Germain,France,MF,Central Midfield,21-25,24,2,0,0,0,0,135,44,6
Toni Kroos,Germany,Real Madrid,Spain,MF,Central Midfield,26-30,28,3,1,0,0,0,270,83,12
Timo Werner,Germany,RB Leipzig,Germany,FW,Centre-Forward,21-25,22,3,0,0,0,0,266,14,8
Mesut Ozil,Germany,Arsenal FC,England,MF,Attacking Midfield,26-30,29,2,0,0,0,0,180,90,23
Marco Reus,Germany,Borussia Dortmund,Germany,FW,Left Winger,26-30,29,3,1,1,0,0,210,31,9
Kevin Trapp,Germany,Paris Saint-Germain,France,GK,Goalkeeper,26-30,28,0,0,0,0,0,0,3,0
Thomas Muller,Germany,Bayern Munich,Germany,FW,Right Winger,26-30,28,3,0,0,1,0,207,91,38
Leon Goretzka,Germany,FC Schalke 04,Germany,MF,Central Midfield,21-25,23,1,0,0,0,0,63,15,6
Niklas Sule,Germany,Bayern Munich,Germany,DF,Centre-Back,21-25,22,1,0,0,0,0,90,11,0
Antonio Rudiger,Germany,Chelsea FC,England,DF,Centre-Back,21-25,25,1,0,0,0,0,90,24,1
Jerome Boateng,Germany,Bayern Munich,Germany,DF,Centre-Back,26-30,29,2,0,0,0,1,172,71,1
Joshua Kimmich,Germany,Bayern Munich,Germany,DF,Right-Back,21-25,23,3,0,0,0,0,270,29,3
Sebastian Rudy,Germany,Bayern Munich,Germany,MF,Defensive Midfield,26-30,28,1,0,0,0,0,31,25,1
Julian Brandt,Germany,Bayer 04 Leverkusen,Germany,FW,Left Winger,21-25,22,3,0,0,0,0,19,16,1
Ilkay Gundogan,Germany,Manchester City,England,MF,Central Midfield,26-30,27,1,0,0,0,0,59,26,4
Marc-Andre ter Stegen,Germany,FC Barcelona,Spain,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,20,0
Mario Gomez,Germany,VfB Stuttgart,Germany,FW,Centre-Forward,31-35,33,3,0,1,0,0,87,75,31
Jose de Jesus Corona,Mexico,CD Cruz Azul,Mexico,GK,Goalkeeper,36+,37,0,0,0,0,0,0,52,0
Hugo Ayala,Mexico,Tigres UANL,Mexico,DF,Centre-Back,31-35,31,2,0,0,0,0,180,43,1
Carlos Salcedo,Mexico,Eintracht Frankfurt,Germany,DF,Centre-Back,21-25,24,4,0,0,1,0,360,21,0
Rafael Marquez,Mexico,Atlas Guadalajara,Mexico,DF,Centre-Back,36+,39,3,0,0,0,0,83,145,18
Erick Gutierrez,Mexico,CF Pachuca,Mexico,MF,Central Midfield,21-25,23,0,0,0,0,0,0,9,0
Jonathan dos Santos,Mexico,Los Angeles Galaxy,United States,MF,Central Midfield,26-30,28,1,0,0,0,0,35,32,0
Miguel Layun,Mexico,Sevilla FC,Spain,MF,Right Midfield,26-30,30,4,0,0,1,0,313,64,6
Marco Fabian,Mexico,Eintracht Frankfurt,Germany,MF,Attacking Midfield,26-30,28,1,0,0,0,0,25,39,9
Raul Jimenez,Mexico,SL Benfica,Portugal,FW,Centre-Forward,26-30,27,2,0,0,0,0,54,63,13
Giovani dos Santos,Mexico,Los Angeles Galaxy,United States,FW,Second Striker,26-30,29,1,0,0,0,0,13,105,19
Carlos Vela,Mexico,Los Angeles FC,United States,FW,Right Winger,26-30,29,4,1,0,0,0,315,68,18
Alfredo Talavera,Mexico,Deportivo Toluca,Mexico,GK,Goalkeeper,31-35,35,0,0,0,0,0,0,27,0
Guillermo Ochoa,Mexico,Standard Liege,Belgium,GK,Goalkeeper,31-35,32,4,0,0,0,0,360,94,0
Javier Hernandez,Mexico,West Ham United,England,FW,Centre-Forward,26-30,30,4,1,1,0,0,330,102,49
Hector Moreno,Mexico,Real Sociedad,Spain,DF,Centre-Back,26-30,30,3,0,0,2,0,270,92,3
Hector Herrera,Mexico,FC Porto,Portugal,MF,Central Midfield,26-30,28,4,0,0,2,0,360,66,5
Jesus Manuel Corona,Mexico,FC Porto,Portugal,FW,Right Winger,21-25,25,2,0,0,0,0,34,36,7
Andres Guardado,Mexico,Real Betis Balompie,Spain,MF,Central Midfield,31-35,31,4,0,0,1,0,307,145,25
Oribe Peralta,Mexico,CF America,Mexico,FW,Centre-Forward,31-35,34,1,0,0,0,0,1,67,26
Javier Aquino,Mexico,Tigres UANL,Mexico,FW,Left Winger,26-30,28,0,0,0,0,0,0,53,0
Edson Alvarez,Mexico,CF America,Mexico,DF,Centre-Back,15-20,20,4,0,0,1,0,267,13,1
Hirving Lozano,Mexico,PSV Eindhoven,Netherlands,FW,Left Winger,21-25,22,4,1,1,0,0,317,28,7
Jesus Gallardo,Mexico,UNAM Pumas,Mexico,FW,Left Winger,21-25,23,4,0,0,1,0,335,23,0
Kim Seung-gyu,South Korea,Vissel Kobe,Japan,GK,Goalkeeper,26-30,27,0,0,0,0,0,0,33,0
Lee Yong,South Korea,Jeonbuk Hyundai Motors FC,South Korea,DF,Right-Back,31-35,31,3,0,0,1,0,270,28,0
Jung Seung-hyun,South Korea,Sagan Tosu,Japan,DF,Centre-Back,21-25,24,0,0,0,0,0,0,6,0
Oh Ban-suk,South Korea,Jeju United FC,South Korea,DF,Centre-Back,26-30,30,0,0,0,0,0,0,2,0
Yun Young-sun,South Korea,Seongnam FC,South Korea,DF,Centre-Back,26-30,29,1,0,0,0,0,90,6,0
Park Joo-ho,South Korea,Ulsan Hyundai,South Korea,DF,Left-Back,31-35,31,1,0,0,0,0,28,36,0
Son Heung-min,South Korea,Tottenham Hotspur,England,FW,Left Winger,26-30,26,3,2,0,1,0,270,67,21
Ju Se-jong,South Korea,Asan Mugunghwa FC,South Korea,MF,Defensive Midfield,26-30,27,2,0,1,0,0,85,11,1
Kim Shin-wook,South Korea,Jeonbuk Hyundai Motors FC,South Korea,FW,Centre-Forward,26-30,30,1,0,0,1,0,66,50,10
Lee Seung-woo,South Korea,Hellas Verona,Italy,FW,Left Winger,15-20,20,2,0,0,1,0,43,4,0
Hwang Hee-chan,South Korea,Red Bull Salzburg,Austria,FW,Centre-Forward,21-25,22,3,0,0,1,0,203,14,2
Kim Min-woo,South Korea,Sangju Sangmu FC,South Korea,MF,Left Midfield,26-30,28,2,0,0,0,0,146,20,1
Koo Ja-cheol,South Korea,FC Augsburg,Germany,MF,Attacking Midfield,26-30,29,2,0,0,0,0,129,68,19
Hong Chul,South Korea,Sangju Sangmu FC,South Korea,DF,Left-Back,26-30,27,2,0,0,0,0,96,14,0
Jung Woo-young,South Korea,Vissel Kobe,Japan,MF,Defensive Midfield,26-30,28,3,0,0,2,0,127,30,1
Ki Sung-yueng,South Korea,Swansea City,England,MF,Defensive Midfield,26-30,29,2,0,0,0,0,180,102,10
Lee Jae-sung,South Korea,Jeonbuk Hyundai Motors FC,South Korea,MF,Attacking Midfield,21-25,25,3,0,1,1,0,270,35,6
Moon Seon-min,South Korea,Incheon United FC,South Korea,FW,Left Winger,26-30,26,2,0,0,1,0,146,3,1
Kim Young-gwon,South Korea,Guangzhou Evergrande Taobao,China,DF,Centre-Back,26-30,28,3,1,0,1,0,270,53,2
Jang Hyun-soo,South Korea,FC Tokyo,Japan,DF,Centre-Back,26-30,26,3,0,0,0,0,270,51,3
Kim Jin-hyeon,South Korea,Cerezo Osaka,Japan,GK,Goalkeeper,31-35,31,0,0,0,0,0,0,15,0
Go Yo-han,South Korea,FC Seoul,South Korea,DF,Right-Back,26-30,30,1,0,0,0,0,11,20,0
Jo Hyeon-woo,South Korea,Daegu FC,South Korea,GK,Goalkeeper,26-30,26,3,0,0,0,0,270,6,0
Robin Olsen,Sweden,FC Copenhagen,Denmark,GK,Goalkeeper,26-30,28,5,0,0,0,0,450,18,0
Mikael Lustig,Sweden,Celtic FC,Scotland,DF,Right-Back,31-35,31,4,0,0,2,0,352,66,6
Victor Lindelof,Sweden,Manchester United,England,DF,Centre-Back,21-25,23,4,0,0,0,0,360,21,1
Andreas Granqvist,Sweden,FK Krasnodar,Russia,DF,Centre-Back,31-35,33,5,2,0,0,0,450,72,6
Martin Olsson,Sweden,Swansea City,England,DF,Left-Back,26-30,30,2,0,0,0,0,33,43,5
Ludwig Augustinsson,Sweden,SV Werder Bremen,Germany,DF,Left-Back,21-25,24,5,1,0,0,0,450,15,0
Sebastian Larsson,Sweden,Hull City,England,MF,Central Midfield,31-35,33,4,0,0,3,0,318,100,6
Albin Ekdal,Sweden,Hamburger SV,Germany,MF,Central Midfield,26-30,28,5,0,0,1,0,421,34,0
Marcus Berg,Sweden,Al-Ain FC,United Arab Emirates,FW,Centre-Forward,31-35,31,5,0,1,0,0,428,57,18
Emil Forsberg,Sweden,RB Leipzig,Germany,FW,Left Winger,26-30,26,5,1,0,0,0,417,36,6
John Guidetti,Sweden,Deportivo Alaves,Spain,FW,Centre-Forward,26-30,26,2,0,0,1,0,37,20,1
Karl-Johan Johnsson,Sweden,EA Guingamp,France,GK,Goalkeeper,26-30,28,0,0,0,0,0,0,5,0
Gustav Svensson,Sweden,Seattle Sounders FC,United States,MF,Defensive Midfield,31-35,31,3,0,0,0,0,132,13,0
Filip Helander,Sweden,Bologna FC 1909,Italy,DF,Centre-Back,21-25,25,0,0,0,0,0,0,4,0
Oscar Hiljemark,Sweden,Genoa CFC,Italy,MF,Central Midfield,26-30,26,2,0,0,0,0,29,22,2
Emil Krafth,Sweden,Bologna FC 1909,Italy,DF,Right-Back,21-25,23,2,0,0,0,0,93,13,0
Viktor Claesson,Sweden,FK Krasnodar,Russia,MF,Attacking Midfield,26-30,26,5,0,3,1,0,434,22,3
Pontus Jansson,Sweden,Leeds United,England,DF,Centre-Back,26-30,27,2,0,0,0,0,95,15,0
Marcus Rohden,Sweden,FC Crotone,Italy,MF,Right Midfield,26-30,27,0,0,0,0,0,0,12,1
Ola Toivonen,Sweden,FC Toulouse,France,FW,Centre-Forward,31-35,32,5,1,1,0,0,400,59,13
Jimmy Durmaz,Sweden,FC Toulouse,France,FW,Left Winger,26-30,29,1,0,0,0,0,16,45,3
Isaac Kiese Thelin,Sweden,Waasland-Beveren,Belgium,FW,Centre-Forward,26-30,26,4,0,1,0,0,35,20,2
Kristoffer Nordfeldt,Sweden,Swansea City,England,GK,Goalkeeper,26-30,29,0,0,0,0,0,0,8,0
Thibaut Courtois,Belgium,Chelsea FC,England,GK,Goalkeeper,26-30,26,7,0,0,0,0,630,58,0
Toby Alderweireld,Belgium,Tottenham Hotspur,England,DF,Centre-Back,26-30,29,6,0,1,2,0,540,77,3
Thomas Vermaelen,Belgium,FC Barcelona,Spain,DF,Centre-Back,31-35,32,3,0,0,0,0,132,66,1
Vincent Kompany,Belgium,Manchester City,England,DF,Centre-Back,31-35,32,5,0,1,0,0,376,77,4
Jan Vertonghen,Belgium,Tottenham Hotspur,England,DF,Centre-Back,31-35,31,6,1,0,2,0,540,102,8
Axel Witsel,Belgium,Tianjin Quanjian,China,MF,Central Midfield,26-30,29,6,0,0,1,0,540,90,9
Kevin De Bruyne,Belgium,Manchester City,England,MF,Attacking Midfield,26-30,27,6,1,2,1,0,540,62,14
Marouane Fellaini,Belgium,Manchester United,England,MF,Central Midfield,26-30,30,5,1,0,0,0,316,82,17
Romelu Lukaku,Belgium,Manchester United,England,FW,Centre-Forward,21-25,25,6,4,1,0,0,477,69,36
Eden Hazard,Belgium,Chelsea FC,England,FW,Left Winger,26-30,27,6,3,2,1,0,518,86,22
Yannick Carrasco,Belgium,Dalian Yifang,China,FW,Left Winger,21-25,24,4,0,0,0,0,239,26,5
Simon Mignolet,Belgium,Liverpool FC,England,GK,Goalkeeper,26-30,30,0,0,0,0,0,0,21,0
Koen Casteels,Belgium,VfL Wolfsburg,Germany,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,0,0
Dries Mertens,Belgium,SSC Napoli,Italy,FW,Centre-Forward,31-35,31,6,1,1,0,0,297,69,14
Thomas Meunier,Belgium,Paris Saint-Germain,France,DF,Right-Back,26-30,26,5,1,2,2,0,450,25,5
Thorgan Hazard,Belgium,Borussia Monchengladbach,Germany,FW,Left Winger,21-25,25,2,0,0,0,0,97,11,1
Youri Tielemans,Belgium,AS Monaco,France,MF,Central Midfield,21-25,21,4,0,2,1,0,176,9,0
Adnan Januzaj,Belgium,Real Sociedad,Spain,FW,Right Winger,21-25,23,1,1,0,0,0,86,8,0
Mousa Dembele,Belgium,Tottenham Hotspur,England,MF,Central Midfield,26-30,30,4,0,0,0,0,177,76,5
Dedryck Boyata,Belgium,Celtic FC,Scotland,DF,Centre-Back,26-30,27,3,0,0,0,0,270,7,0
Michy Batshuayi,Belgium,Borussia Dortmund,Germany,FW,Centre-Forward,21-25,24,3,1,0,0,0,112,16,7
Nacer Chadli,Belgium,West Bromwich Albion,England,FW,Left Winger,26-30,28,6,1,1,0,0,327,45,5
Leander Dendoncker,Belgium,RSC Anderlecht,Belgium,DF,Centre-Back,21-25,23,1,0,0,1,0,90,5,0
Jordan Pickford,England,Everton FC,England,GK,Goalkeeper,21-25,24,7,0,0,0,0,690,3,0
Kyle Walker,England,Manchester City,England,DF,Right-Back,26-30,28,5,0,0,2,0,495,35,0
Danny Rose,England,Tottenham Hotspur,England,DF,Left-Back,26-30,28,5,0,0,0,0,202,18,0
Eric Dier,England,Tottenham Hotspur,England,MF,Defensive Midfield,21-25,24,6,0,0,0,0,247,26,3
John Stones,England,Manchester City,England,DF,Centre-Back,21-25,24,7,2,0,1,0,645,26,0
Harry Maguire,England,Leicester City,England,DF,Centre-Back,21-25,25,7,1,1,2,0,644,5,0
Jesse Lingard,England,Manchester United,England,FW,Left Winger,21-25,25,6,1,2,1,0,527,12,1
Jordan Henderson,England,Liverpool FC,England,MF,Central Midfield,26-30,28,5,0,0,1,0,482,39,0
Harry Kane,England,Tottenham Hotspur,England,FW,Centre-Forward,21-25,24,6,6,0,0,0,573,24,13
Raheem Sterling,England,Manchester City,England,FW,Right Winger,21-25,23,6,0,1,0,0,455,38,2
Jamie Vardy,England,Leicester City,England,FW,Centre-Forward,31-35,31,4,0,0,0,0,157,22,7
Kieran Trippier,England,Tottenham Hotspur,England,DF,Right-Back,26-30,27,6,1,1,0,0,577,7,0
Jack Butland,England,Stoke City,England,GK,Goalkeeper,21-25,25,0,0,0,0,0,0,8,0
Danny Welbeck,England,Arsenal FC,England,FW,Centre-Forward,26-30,27,1,0,0,0,0,11,39,16
Gary Cahill,England,Chelsea FC,England,DF,Centre-Back,31-35,32,1,0,0,0,0,90,60,5
Phil Jones,England,Manchester United,England,DF,Centre-Back,26-30,26,2,0,0,0,0,180,25,0
Fabian Delph,England,Manchester City,England,MF,Central Midfield,26-30,28,4,0,0,0,0,220,11,0
